Statistics > Distributions;Binomial Coefficient;\left( {\begin{array}{cc} n \\ k \\ \end{array}} \right) = \frac{{n!}}{{k!\left( {n - k} \right)!}}
Statistics > Distributions;Binomial Equation;y = \frac{{n!}}{{k!\left( {n - k} \right)!}}p^k q^{n - k} = \left( {\begin{array}{cc} n \\ k \\ \end{array}} \right)p^k q^{n - k}
Statistics > Distributions;Euler's Constant;e = \mathop {\lim }\limits_{n \to \infty } \left( {1 + \frac{1}{n}} \right)^n
Statistics > Moments;Fisher Skewness;\gamma_1 = \frac{\mu_3}{\mu_2^{3/2}} = \frac{\mu_3}{\sigma^3}
Statistics > Distributions;Gamma Distribution;\Gamma \left( a \right) = \int\limits_0^\infty {s^{a - 1} } e^{ - s} ds
Statistics > Distributions;Gamma Function;\Gamma \left( x \right) = \int\limits_0^\infty {s^{x - 1} e^{ - s} ds}
Statistics > Distributions;Gaussian Normal Distribution;P(x) = \frac{1}{\sigma \sqrt{2\pi}} e^{-\frac{(x - \mu)^2}{2\sigma^2}}
Statistics > Moments;Mean about zero;\mu = \mu _1 = \sum {xP\left( x \right)}
Statistics > Distributions;Mean of Binomial Distribution;M_b = np
Statistics > Moments;nth moment about point a;\mu _n \left( a \right) = \sum {\left( {x - a} \right)^n P\left( x \right)}
Statistics > Distributions;Poisson Distribution;P\left( x \right) = \frac{{e^{ - \lambda } \lambda ^x }}{{x!}}
Statistics > Moments;Sample Variance (Biased);s_N = \sqrt {\frac{1}{N}\sum\limits_{i = 1}^N {\left( {x_i - \bar x} \right)^2 } }
Statistics > Moments;Standard Deviation;\sigma = \sqrt {\mu _2 }
Statistics > Moments;Standard Error;{\mathop{\rm var}} \left( {\bar x} \right) = \frac{{\sigma ^2 }}{n}
Statistics > Distributions;Standard Normal Distribution;y = \frac{1}{{\sqrt {2\pi } }}e^{ - \frac{{z^2 }}{2}} = .3989e^{ - 5z^2 }
Statistics > Moments;Unbiased Estimator of Populatoin Sample Variance;s_{N - 1} = \sqrt {\frac{1}{{N - 1}}\sum\limits_{i = 1}^N {\left( {x_i - \bar x} \right)^2 } }
Statistics > Distributions;Variance of Binomial Distribution;\sigma ^2 _b = npq
Statistics > Moments;Variance or second moment about the Mean;\sigma ^2 = \mu _2 = \sum {\left( {x - \mu _1 } \right)^2 P\left( x \right)}
